Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BatteryHolder_MPD_BC2003_1x2032,2,Battery_Cell,
"C1, C2, C3, R7",0603,4,tbd,
"D1, D2, D5, D6",ws2812b_micro,4,ws2812b_micro,
"D3, D4, D7, D8",ws2812b_mini,4,ws2812b_mini,
D9,PinHeader_1x04_P1.27mm_Vertical,1,LED_RAGB,
"Q1, Q2, Q3",SOT-23,3,MMBT3904,
"R1, R5, R6, R8",0603,4,10K,
"R2, R3, R4",0603,3,220R,
SW1,SW_DPDT_CK_JS202011JCQN,1,SW_Push_DPDT,
SW2,pts526,1,SW_SPST,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,SOT-23,1,ap7375-3.3V,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny402-SS,
